stage	name	topicRisk	title	responsible	criticality	expectedEvidence	evidence	proofDocument
FEASIBILITY_VALIDATION	ECR_inf_modele-1	Imput client	Donnée client : DT /Presentation/drawing	Chef de projet	3-faible	DT		
FEASIBILITY_VALIDATION	ECR_inf_modele-2	Validation imput	Analyse Donnée client :	Chef de projet	1-critique	Check list de drawing/Mail/OIL		Check list validation Analyse Drawing.xlsx
FEASIBILITY_VALIDATION	ECR_inf_modele-3	disponilité composant	Besoins/Offre de prix composant	Chef de projet	3-faible	document		
FEASIBILITY_VALIDATION	ECR_inf_modele-4	disponilité composant	Besoin MP diffusé et suivi de commandes MP	Chef de projet	3-faible	document		
FEASIBILITY_VALIDATION	ECR_inf_modele-5	analyse capacité	Rump up & mesure de capacité	Chef de projet	3-faible	dossier		Rump up J4U V112025 Wk38.xlsx
FEASIBILITY_VALIDATION	ECR_inf_modele-6	Amélioration contunie	LLS projet	Qualité	3-faible	LLS projet		SAGE-FOR-QUA-135 LLS Projet.xlsx
FEASIBILITY_VALIDATION	ECR_inf_modele-7	disponilité moyens	Besoins/Offre de prix outillages	Chef de projet	3-faible	document		
FEASIBILITY_VALIDATION	ECR_inf_modele-8	disponilité moyens	Besoins/Offre de prix machine	Chef de projet	3-faible	document		CR03_detail temps.xlsx;Plan de charge Effectif et machines CR03_wk29.xlsx;SAGE-FOR-ENG-11 ECR-ECO SAGE COVERS.xlsx
PROJECT_MANAGEMENT	ECR_inf2_modele-1	Traitement de la demande	ECR form/ Demande de modification	Chef de projet	3-faible	ECR		SAGE-FOR-ENG-11 ECR-ECO SAGE COVERS.xlsx
PROJECT_MANAGEMENT	ECR_inf2_modele-2	communication	compte rendu de réunion	Chef de projet	3-faible	Compte de rendu		SAGE-FOR-LEA-01 PV de Réunion.xlsx
PROJECT_MANAGEMENT	ECR_inf2_modele-3	planification	Planning de modification et de réalisation	Chef de projet	1-critique	Planning		SAGE-FOR-ENG-32 Dossier de modification.xlsx
